haul 0: 0% Autumn, 0% North, 0% Central, 100% South
haul 1: 0% Autumn, 0% North, 10% Central, 90% South
haul 2: 0% Autumn, 0% North, 20% Central, 80% South
haul 3: 0% Autumn, 0% North, 30% Central, 70% South
haul 4: 0% Autumn, 0% North, 40% Central, 60% South
haul 5: 0% Autumn, 0% North, 50% Central, 50% South
haul 6: 0% Autumn, 0% North, 60% Central, 40% South
haul 7: 0% Autumn, 0% North, 70% Central, 30% South
haul 8: 0% Autumn, 0% North, 80% Central, 20% South
haul 9: 0% Autumn, 0% North, 90% Central, 10% South
haul 10: 0% Autumn, 0% North, 100% Central, 0% South
haul 11: 0% Autumn, 10% North, 0% Central, 90% South
haul 12: 0% Autumn, 10% North, 10% Central, 80% South
haul 13: 0% Autumn, 10% North, 20% Central, 70% South
haul 14: 0% Autumn, 10% North, 30% Central, 60% South
haul 15: 0% Autumn, 10% North, 40% Central, 50% South
haul 16: 0% Autumn, 10% North, 50% Central, 40% South
haul 17: 0% Autumn, 10% North, 60% Central, 30% South
haul 18: 0% Autumn, 10% North, 70% Central, 20% South
haul 19: 0% Autumn, 10% North, 80% Central, 10% South
haul 20: 0% Autumn, 10% North, 90% Central, 0% South
haul 21: 0% Autumn, 20% North, 0% Central, 80% South
haul 22: 0% Autumn, 20% North, 10% Central, 70% South
haul 23: 0% Autumn, 20% North, 20% Central, 60% South
haul 24: 0% Autumn, 20% North, 30% Central, 50% South
haul 25: 0% Autumn, 20% North, 40% Central, 40% South
haul 26: 0% Autumn, 20% North, 50% Central, 30% South
haul 27: 0% Autumn, 20% North, 60% Central, 20% South
haul 28: 0% Autumn, 20% North, 70% Central, 10% South
haul 29: 0% Autumn, 20% North, 80% Central, 0% South
haul 30: 0% Autumn, 30% North, 0% Central, 70% South
haul 31: 0% Autumn, 30% North, 10% Central, 60% South
haul 32: 0% Autumn, 30% North, 20% Central, 50% South
haul 33: 0% Autumn, 30% North, 30% Central, 40% South
haul 34: 0% Autumn, 30% North, 40% Central, 30% South
haul 35: 0% Autumn, 30% North, 50% Central, 20% South
haul 36: 0% Autumn, 30% North, 60% Central, 10% South
haul 37: 0% Autumn, 30% North, 70% Central, 0% South
haul 38: 0% Autumn, 40% North, 0% Central, 60% South
haul 39: 0% Autumn, 40% North, 10% Central, 50% South
haul 40: 0% Autumn, 40% North, 20% Central, 40% South
haul 41: 0% Autumn, 40% North, 30% Central, 30% South
haul 42: 0% Autumn, 40% North, 40% Central, 20% South
haul 43: 0% Autumn, 40% North, 50% Central, 10% South
haul 44: 0% Autumn, 40% North, 60% Central, 0% South
haul 45: 0% Autumn, 50% North, 0% Central, 50% South
haul 46: 0% Autumn, 50% North, 10% Central, 40% South
haul 47: 0% Autumn, 50% North, 20% Central, 30% South
haul 48: 0% Autumn, 50% North, 30% Central, 20% South
haul 49: 0% Autumn, 50% North, 40% Central, 10% South
haul 50: 0% Autumn, 50% North, 50% Central, 0% South
haul 51: 0% Autumn, 60% North, 0% Central, 40% South
haul 52: 0% Autumn, 60% North, 10% Central, 30% South
haul 53: 0% Autumn, 60% North, 20% Central, 20% South
haul 54: 0% Autumn, 60% North, 30% Central, 10% South
haul 55: 0% Autumn, 60% North, 40% Central, 0% South
haul 56: 0% Autumn, 70% North, 0% Central, 30% South
haul 57: 0% Autumn, 70% North, 10% Central, 20% South
haul 58: 0% Autumn, 70% North, 20% Central, 10% South
haul 59: 0% Autumn, 70% North, 30% Central, 0% South
haul 60: 0% Autumn, 80% North, 0% Central, 20% South
haul 61: 0% Autumn, 80% North, 10% Central, 10% South
haul 62: 0% Autumn, 80% North, 20% Central, 0% South
haul 63: 0% Autumn, 90% North, 0% Central, 10% South
haul 64: 0% Autumn, 90% North, 10% Central, 0% South
haul 65: 0% Autumn, 100% North, 0% Central, 0% South
haul 66: 10% Autumn, 0% North, 0% Central, 90% South
haul 67: 10% Autumn, 0% North, 10% Central, 80% South
haul 68: 10% Autumn, 0% North, 20% Central, 70% South
haul 69: 10% Autumn, 0% North, 30% Central, 60% South
haul 70: 10% Autumn, 0% North, 40% Central, 50% South
haul 71: 10% Autumn, 0% North, 50% Central, 40% South
haul 72: 10% Autumn, 0% North, 60% Central, 30% South
haul 73: 10% Autumn, 0% North, 70% Central, 20% South
haul 74: 10% Autumn, 0% North, 80% Central, 10% South
haul 75: 10% Autumn, 0% North, 90% Central, 0% South
haul 76: 10% Autumn, 10% North, 0% Central, 80% South
haul 77: 10% Autumn, 10% North, 10% Central, 70% South
haul 78: 10% Autumn, 10% North, 20% Central, 60% South
