VCF_ID	BioSample_ID	Capture_Population	Spawning_Ecotype	Phenotype_ID	Population
Gav17_001.CEL	GAV17_001.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_002.CEL	GAV17_002.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_003.CEL	GAV17_003.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_004.CEL	GAV17_004.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_005.CEL	GAV17_005.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_006.CEL	GAV17_006.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_007.CEL	GAV17_007.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_008.CEL	GAV17_008.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_010.CEL	GAV17_010.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_012.CEL	GAV17_012.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_014.CEL	GAV17_014.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_015.CEL	GAV17_015.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_017.CEL	GAV17_017.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_018.CEL	GAV17_018.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_019.CEL	GAV17_019.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_021.CEL	GAV17_021.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_023.CEL	GAV17_023.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_024.CEL	GAV17_024.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_026.CEL	GAV17_026.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_027.CEL	GAV17_027.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_028.CEL	GAV17_028.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_032.CEL	GAV17_032.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_033.CEL	GAV17_033.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_034.CEL	GAV17_034.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_035.CEL	GAV17_035.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_037.CEL	GAV17_037.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_039.CEL	GAV17_039.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_040.CEL	GAV17_040.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_041.CEL	GAV17_041.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_042.CEL	GAV17_042.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_043.CEL	GAV17_043.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_044.CEL	GAV17_044.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_045.CEL	GAV17_045.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_046.CEL	GAV17_046.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_048.CEL	GAV17_048.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_049.CEL	GAV17_049.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_050.CEL	GAV17_050.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_051.CEL	GAV17_051.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_052.CEL	GAV17_052.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_053.CEL	GAV17_053.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_054.CEL	GAV17_054.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_055.CEL	GAV17_055.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_056.CEL	GAV17_056.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_057.CEL	GAV17_057.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_058.CEL	GAV17_058.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav17_059.CEL	GAV17_059.CEL	GAV17	AUTUMN	GAV17_AUTUMN	Autumn
Gav18_001.CEL	GAV18_001.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_003.CEL	GAV18_003.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_004.CEL	GAV18_004.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_005.CEL	GAV18_005.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_006.CEL	GAV18_006.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_007.CEL	GAV18_007.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_008.CEL	GAV18_008.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_009.CEL	GAV18_009.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_010.CEL	GAV18_010.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_011.CEL	GAV18_011.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_012.CEL	GAV18_012.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_013.CEL	GAV18_013.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_015.CEL	GAV18_015.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_017.CEL	GAV18_017.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_018.CEL	GAV18_018.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_020.CEL	GAV18_020.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_021.CEL	GAV18_021.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_022.CEL	GAV18_022.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_023.CEL	GAV18_023.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_024.CEL	GAV18_024.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_025.CEL	GAV18_025.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_026.CEL	GAV18_026.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_027.CEL	GAV18_027.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_028.CEL	GAV18_028.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_029.CEL	GAV18_029.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_030.CEL	GAV18_030.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_031.CEL	GAV18_031.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_032.CEL	GAV18_032.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_033.CEL	GAV18_033.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_034.CEL	GAV18_034.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_035.CEL	GAV18_035.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
Gav18_037.CEL	GAV18_037.CEL	GAV18	AUTUMN	GAV18_AUTUMN	Autumn
