haul_id	proportion_name	Autumn_%	North_%	Central_%	South_%	Actual_A_count	Actual_N_count	Actual_C_count	Actual_S_count
haul_0001	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0002	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0003	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0004	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0005	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0006	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0007	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0008	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0009	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0010	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0011	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0012	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0013	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0014	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0015	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0016	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0017	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0018	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0019	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0020	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0021	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0022	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0023	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0024	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0025	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0026	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0027	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0028	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0029	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0030	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0031	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0032	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0033	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0034	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0035	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0036	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0037	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0038	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0039	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0040	50A_16N_17C_17S	50	16	17	17	15	5	5	5
haul_0041	60A_40N_0C_0S	60	40	0	0	18	12	0	0
haul_0042	60A_40N_0C_0S	60	40	0	0	18	12	0	0
haul_0043	60A_40N_0C_0S	60	40	0	0	18	12	0	0
haul_0044	60A_40N_0C_0S	60	40	0	0	18	12	0	0
haul_0045	60A_40N_0C_0S	60	40	0	0	18	12	0	0
haul_0046	60A_40N_0C_0S	60	40	0	0	18	12	0	0
haul_0047	60A_40N_0C_0S	60	40	0	0	18	12	0	0
haul_0048	60A_40N_0C_0S	60	40	0	0	18	12	0	0
haul_0049	60A_40N_0C_0S	60	40	0	0	18	12	0	0
haul_0050	60A_40N_0C_0S	60	40	0	0	18	12	0	0
haul_0051	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0052	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0053	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0054	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0055	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0056	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0057	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0058	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0059	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0060	0A_50N_50C_0S	0	50	50	0	0	15	15	0
haul_0061	33A_33N_33C_0S	33	33	33	0	10	10	10	0
haul_0062	33A_33N_33C_0S	33	33	33	0	10	10	10	0
haul_0063	33A_33N_33C_0S	33	33	33	0	10	10	10	0
haul_0064	33A_33N_33C_0S	33	33	33	0	10	10	10	0
haul_0065	33A_33N_33C_0S	33	33	33	0	10	10	10	0
haul_0066	33A_33N_33C_0S	33	33	33	0	10	10	10	0
haul_0067	33A_33N_33C_0S	33	33	33	0	10	10	10	0
haul_0068	33A_33N_33C_0S	33	33	33	0	10	10	10	0
haul_0069	33A_33N_33C_0S	33	33	33	0	10	10	10	0
haul_0070	33A_33N_33C_0S	33	33	33	0	10	10	10	0
haul_0071	25A_25N_25C_25S	25	25	25	25	8	8	7	7
haul_0072	25A_25N_25C_25S	25	25	25	25	8	8	7	7
haul_0073	25A_25N_25C_25S	25	25	25	25	8	8	7	7
haul_0074	25A_25N_25C_25S	25	25	25	25	8	8	7	7
haul_0075	25A_25N_25C_25S	25	25	25	25	8	8	7	7
haul_0076	25A_25N_25C_25S	25	25	25	25	8	8	7	7
haul_0077	25A_25N_25C_25S	25	25	25	25	8	8	7	7
haul_0078	25A_25N_25C_25S	25	25	25	25	8	8	7	7
haul_0079	25A_25N_25C_25S	25	25	25	25	8	8	7	7
haul_0080	25A_25N_25C_25S	25	25	25	25	8	8	7	7
