VCF_ID	BioSample_ID	Capture_Population	Spawning_Ecotype	Phenotype_ID	Population	Simulated_Haul_ID	True_Proportion
A-ST1_17.CEL	OST1_17.CEL	OST01	SPRING	OST01_SPRING	Central	haul_0073	25A_25N_25C_25S
A-ST1_20.CEL	OST1_20.CEL	OST01	SPRING	OST01_SPRING	Central	haul_0052	0A_50N_50C_0S
A-ST1_23.CEL	OST1_23.CEL	OST01	SPRING	OST01_SPRING	Central	haul_0066	33A_33N_33C_0S
A-ST1_25.CEL	OST1_25.CEL	OST01	SPRING	OST01_SPRING	Central	haul_0068	33A_33N_33C_0S
A-ST1_28.CEL	OST1_28.CEL	OST01	SPRING	OST01_SPRING	Central	haul_0024	50A_0N_50C_0S
A-ST1_5.CEL	OST1_5.CEL	OST01	SPRING	OST01_SPRING	Central	haul_0055	0A_50N_50C_0S
A-ST2_53.CEL	OST2_53.CEL	OST02	SPRING	OST02_SPRING	Central	haul_0057	0A_50N_50C_0S
A-ST2_57.CEL	OST2_57.CEL	OST02	SPRING	OST02_SPRING	Central	haul_0066	33A_33N_33C_0S
A-ST2_74.CEL	OST2_74.CEL	OST02	SPRING	OST02_SPRING	Central	haul_0068	33A_33N_33C_0S
A-ST3_19.CEL	OST3_19.CEL	OST03	SPRING	OST03_SPRING	Central	haul_0075	25A_25N_25C_25S
A-ST3_24.CEL	OST3_24.CEL	OST03	SPRING	OST03_SPRING	Central	haul_0025	50A_0N_50C_0S
A-ST3_39.CEL	OST3_39.CEL	OST03	SPRING	OST03_SPRING	Central	haul_0079	25A_25N_25C_25S
A-ST3_49.CEL	OST3_49.CEL	OST03	SPRING	OST03_SPRING	Central	haul_0023	50A_0N_50C_0S
A-ST3_51.CEL	OST3_51.CEL	OST03	SPRING	OST03_SPRING	Central	haul_0058	0A_50N_50C_0S
A-ST3_60.CEL	OST3_60.CEL	OST03	SPRING	OST03_SPRING	Central	haul_0024	50A_0N_50C_0S
A-ST5_4.CEL	OST5_4.CEL	OST05	SPRING	OST05_SPRING	Central	haul_0027	50A_0N_50C_0S
A-ST5_6.CEL	OST5_6.CEL	OST05	SPRING	OST05_SPRING	Central	haul_0022	50A_0N_50C_0S
A-ST5_8.CEL	OST5_8.CEL	OST05	SPRING	OST05_SPRING	Central	haul_0052	0A_50N_50C_0S
A-ST6_12.CEL	OST6_12.CEL	OST06	SPRING	OST06_SPRING	Central	haul_0037	50A_16N_17C_17S
A-ST6_25.CEL	OST6_25.CEL	OST06	SPRING	OST06_SPRING	Central	haul_0077	25A_25N_25C_25S
A-ST6_49.CEL	OST6_49.CEL	OST06	SPRING	OST06_SPRING	Central	haul_0062	33A_33N_33C_0S
A-ST6_50.CEL	OST6_50.CEL	OST06	SPRING	OST06_SPRING	Central	haul_0066	33A_33N_33C_0S
A-ST6_53.CEL	OST6_53.CEL	OST06	SPRING	OST06_SPRING	Central	haul_0052	0A_50N_50C_0S
A-ST6_64.CEL	OST6_64.CEL	OST06	SPRING	OST06_SPRING	Central	haul_0070	33A_33N_33C_0S
A-ST6_68.CEL	OST6_68.CEL	OST06	SPRING	OST06_SPRING	Central	haul_0026	50A_0N_50C_0S
A_ST3_16.CEL	OST3_16.CEL	OST03	SPRING	OST03_SPRING	Central	haul_0024	50A_0N_50C_0S
Ble01_15_a.CEL	BLE01_15.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0074	25A_25N_25C_25S
Ble01_16_a.CEL	BLE01_16.CEL	BLE01	SPRING	BLE01_SPRING	South	haul_0010	50A_0N_0C_50S
