sample_id	haul_id
Upp9_18.CEL	haul_0001
Upp11_50.CEL	haul_0001
Upp10_10.CEL	haul_0001
Gav19_024.CEL	haul_0001
Upp10_32.CEL	haul_0001
Gav18_010.CEL	haul_0001
Upp10_62.CEL	haul_0001
Gav20_26_a.CEL	haul_0001
Gav17_035.CEL	haul_0001
Upp10_43.CEL	haul_0001
Upp10_27.CEL	haul_0001
VaN13_3_a.CEL	haul_0001
Gav20_64_a.CEL	haul_0001
Upp11_21.CEL	haul_0001
Gav20_25_a.CEL	haul_0001
Upp11_8.CEL	haul_0001
Upp11_7.CEL	haul_0001
Upp10_54.CEL	haul_0001
Gav17_051.CEL	haul_0001
Gav19_001.CEL	haul_0001
Gav17_039.CEL	haul_0001
Gav20_3_a.CEL	haul_0001
Upp10_36.CEL	haul_0001
Upp10_14.CEL	haul_0001
Gav19_013.CEL	haul_0001
Upp11_10.CEL	haul_0001
Gav18_013.CEL	haul_0001
Upp11_15.CEL	haul_0001
Gav19_027.CEL	haul_0001
Gav19_014.CEL	haul_0001
Gav20_62_a.CEL	haul_0002
Gav17_003.CEL	haul_0002
Gav18_041.CEL	haul_0002
Gav17_055.CEL	haul_0002
Upp9_11.CEL	haul_0002
Upp11_2.CEL	haul_0002
Upp10_55.CEL	haul_0002
Gav18_032.CEL	haul_0002
VaN13_12_a.CEL	haul_0002
Gav19_029.CEL	haul_0002
Gav17_048.CEL	haul_0002
Gav19_50_a.CEL	haul_0002
Gav18_012.CEL	haul_0002
Gav18_040.CEL	haul_0002
Upp10_1.CEL	haul_0002
Upp10_51.CEL	haul_0002
Upp10_22.CEL	haul_0002
Upp9_8.CEL	haul_0002
Gav18_025.CEL	haul_0002
Gav17_015.CEL	haul_0002
Upp10_52.CEL	haul_0002
Gav20_71_a.CEL	haul_0002
Upp10_18.CEL	haul_0002
Upp10_24.CEL	haul_0002
Upp10_54.CEL	haul_0002
Gav17_053.CEL	haul_0002
Gav20_3_a.CEL	haul_0002
Gav19_025.CEL	haul_0002
Upp10_63.CEL	haul_0002
Gav19_027.CEL	haul_0002
Gav19_37_a.CEL	haul_0003
Upp10_45.CEL	haul_0003
Gav19_024.CEL	haul_0003
Gav17_052.CEL	haul_0003
Gav20_70_a.CEL	haul_0003
Gav18_037.CEL	haul_0003
Upp11_31.CEL	haul_0003
Gav19_027.CEL	haul_0003
Upp10_62.CEL	haul_0003
Upp10_2.CEL	haul_0003
Gav17_042.CEL	haul_0003
Upp11_40.CEL	haul_0003
VaN12_8_a.CEL	haul_0003
Gav19_36_a.CEL	haul_0003
VaN13_16_a.CEL	haul_0003
Gav19_025.CEL	haul_0003
Upp11_9.CEL	haul_0003
Gav20_76_a.CEL	haul_0003
Gav19_42_a.CEL	haul_0003
Gav18_041.CEL	haul_0003
Upp10_33.CEL	haul_0003
Gav19_48_a.CEL	haul_0003
Gav17_034.CEL	haul_0003
Gav17_035.CEL	haul_0003
Upp10_48.CEL	haul_0003
Upp10_54.CEL	haul_0003
Upp11_47.CEL	haul_0003
Gav19_034.CEL	haul_0003
Gav17_046.CEL	haul_0003
Upp11_46.CEL	haul_0003
Gav17_054.CEL	haul_0004
VaN12_19_a.CEL	haul_0004
VaN13_12_a.CEL	haul_0004
Gav17_045.CEL	haul_0004
Upp11_39.CEL	haul_0004
Upp10_14.CEL	haul_0004
Upp10_7.CEL	haul_0004
Gav19_016.CEL	haul_0004
Gav19_48_a.CEL	haul_0004
Gav18_032.CEL	haul_0004
Upp10_16.CEL	haul_0004
Gav17_049.CEL	haul_0004
Gav18_054.CEL	haul_0004
Upp11_30.CEL	haul_0004
Upp10_62.CEL	haul_0004
Gav17_003.CEL	haul_0004
Gav20_44_a.CEL	haul_0004
VaN13_4_a.CEL	haul_0004
Upp10_45.CEL	haul_0004
Upp10_48.CEL	haul_0004
Gav18_040.CEL	haul_0004
Gav18_049.CEL	haul_0004
Gav18_044.CEL	haul_0004
VaN13_25_a.CEL	haul_0004
Gav20_53_a.CEL	haul_0004
Upp10_18.CEL	haul_0004
Gav20_60_a.CEL	haul_0004
Gav17_007.CEL	haul_0004
Gav20_1_a.CEL	haul_0004
Upp10_9.CEL	haul_0004
Gav18_027.CEL	haul_0005
Gav20_6_a.CEL	haul_0005
Gav18_039.CEL	haul_0005
Gav18_051.CEL	haul_0005
Gav17_017.CEL	haul_0005
Gav18_007.CEL	haul_0005
VaN13_12_a.CEL	haul_0005
Gav18_005.CEL	haul_0005
Upp11_49.CEL	haul_0005
Gav19_019.CEL	haul_0005
Upp10_23.CEL	haul_0005
Gav17_006.CEL	haul_0005
Gav18_011.CEL	haul_0005
Upp11_8.CEL	haul_0005
Gav17_056.CEL	haul_0005
Gav20_1_a.CEL	haul_0005
Upp10_49.CEL	haul_0005
Upp10_25.CEL	haul_0005
Gav20_16_a.CEL	haul_0005
Gav19_45_a.CEL	haul_0005
VaN13_4_a.CEL	haul_0005
Gav18_054.CEL	haul_0005
Gav18_043.CEL	haul_0005
Gav17_005.CEL	haul_0005
VaN12_20_a.CEL	haul_0005
Upp11_15.CEL	haul_0005
Upp10_21.CEL	haul_0005
Gav17_053.CEL	haul_0005
Gav18_049.CEL	haul_0005
Gav17_051.CEL	haul_0005
Gav19_011.CEL	haul_0006
Gav19_021.CEL	haul_0006
Gav19_005.CEL	haul_0006
Gav17_044.CEL	haul_0006
Upp9_26.CEL	haul_0006
Gav18_030.CEL	haul_0006
Gav19_38_a.CEL	haul_0006
VaN12_8_a.CEL	haul_0006
Gav17_045.CEL	haul_0006
Gav19_034.CEL	haul_0006
Upp11_30.CEL	haul_0006
Gav17_027.CEL	haul_0006
VaN12_5_a.CEL	haul_0006
Gav19_48_a.CEL	haul_0006
Gav20_44_a.CEL	haul_0006
Upp11_1.CEL	haul_0006
Upp11_35.CEL	haul_0006
Upp9_11.CEL	haul_0006
Upp11_15.CEL	haul_0006
Upp11_9.CEL	haul_0006
Gav18_027.CEL	haul_0006
Gav18_038.CEL	haul_0006
Upp11_22.CEL	haul_0006
Gav18_037.CEL	haul_0006
Upp11_45.CEL	haul_0006
Gav17_058.CEL	haul_0006
Upp10_4.CEL	haul_0006
VaN13_18_a.CEL	haul_0006
Gav18_015.CEL	haul_0006
Gav19_51_a.CEL	haul_0006
Gav19_029.CEL	haul_0007
Upp9_26.CEL	haul_0007
Gav20_8_a.CEL	haul_0007
Gav18_025.CEL	haul_0007
Upp10_9.CEL	haul_0007
Upp10_45.CEL	haul_0007
Upp11_46.CEL	haul_0007
Upp10_24.CEL	haul_0007
VaN12_13_a.CEL	haul_0007
Gav19_007.CEL	haul_0007
Upp9_11.CEL	haul_0007
Gav20_3_a.CEL	haul_0007
Upp11_24.CEL	haul_0007
Upp10_51.CEL	haul_0007
Gav18_034.CEL	haul_0007
Gav18_056.CEL	haul_0007
Upp10_1.CEL	haul_0007
Upp10_61.CEL	haul_0007
Gav17_026.CEL	haul_0007
Upp11_9.CEL	haul_0007
Gav20_48_a.CEL	haul_0007
Upp11_22.CEL	haul_0007
Upp10_33.CEL	haul_0007
Upp11_15.CEL	haul_0007
Gav17_052.CEL	haul_0007
Upp10_49.CEL	haul_0007
Gav20_62_a.CEL	haul_0007
Gav18_040.CEL	haul_0007
Gav17_056.CEL	haul_0007
Gav18_050.CEL	haul_0007
