VCF_ID	Haul_ID
A-ST1_17.CEL	haul_0073
A-ST1_20.CEL	haul_0052
A-ST1_23.CEL	haul_0066
A-ST1_25.CEL	haul_0068
A-ST1_28.CEL	haul_0024
A-ST1_5.CEL	haul_0055
A-ST2_53.CEL	haul_0057
A-ST2_57.CEL	haul_0066
A-ST2_74.CEL	haul_0068
A-ST3_19.CEL	haul_0075
A-ST3_24.CEL	haul_0025
A-ST3_39.CEL	haul_0079
A-ST3_49.CEL	haul_0023
A-ST3_51.CEL	haul_0058
A-ST3_60.CEL	haul_0024
A-ST5_4.CEL	haul_0027
A-ST5_6.CEL	haul_0022
A-ST5_8.CEL	haul_0052
A-ST6_12.CEL	haul_0037
A-ST6_25.CEL	haul_0077
A-ST6_49.CEL	haul_0062
A-ST6_50.CEL	haul_0066
A-ST6_53.CEL	haul_0052
A-ST6_64.CEL	haul_0070
A-ST6_68.CEL	haul_0026
A_ST3_16.CEL	haul_0024
Ble01_15_a.CEL	haul_0074
Ble01_16_a.CEL	haul_0010
Ble01_18_a.CEL	haul_0072
Ble01_19_a.CEL	haul_0008
Ble01_22_a.CEL	haul_0009
Ble01_26_a.CEL	haul_0074
Ble01_28_a.CEL	haul_0005
Ble01_29_a.CEL	haul_0003
Ble01_35_a.CEL	haul_0074
Ble01_37_a.CEL	haul_0071
Ble01_45_a.CEL	haul_0077
Ble01_46_a.CEL	haul_0004
Ble01_4_a.CEL	haul_0010
Ble01_5_a.CEL	haul_0074
Ble01_7_a.CEL	haul_0008
Ble02_23_a.CEL	haul_0010
Ble02_36_a.CEL	haul_0037
Ble02_38_a.CEL	haul_0001
Ble02_41_a.CEL	haul_0006
Ble02_47_a.CEL	haul_0010
Ble02_53_a.CEL	haul_0037
Ble02_56_a.CEL	haul_0075
Ble02_64_a.CEL	haul_0080
Ble02_81_a.CEL	haul_0037
Ble02_83_a.CEL	haul_0002
Ble02_85_a.CEL	haul_0001
Ble02_90_a.CEL	haul_0008
Ble02_95_a.CEL	haul_0035
Ble03_10_a.CEL	haul_0040
Ble03_13_a.CEL	haul_0006
Ble03_15_a.CEL	haul_0004
Ble03_19_a.CEL	haul_0009
Ble03_29_a.CEL	haul_0033
Ble03_31_a.CEL	haul_0005
Ble03_36_a.CEL	haul_0003
Ble03_37_a.CEL	haul_0032
Ble03_39_a.CEL	haul_0008
Ble03_41_a.CEL	haul_0005
Ble03_46_a.CEL	haul_0007
Ble03_4_a.CEL	haul_0071
Ble03_54_a.CEL	haul_0004
Ble03_55_a.CEL	haul_0076
Ble03_59_a.CEL	haul_0080
Ble03_61_a.CEL	haul_0006
Ble03_6_a.CEL	haul_0078
Ble04_20_a.CEL	haul_0075
Ble04_21_a.CEL	haul_0034
Ble04_69_a.CEL	haul_0074
Ble04_6_a.CEL	haul_0001
Ble04_72_a.CEL	haul_0008
Ble04_89_a.CEL	haul_0008
Ble07_21_a.CEL	haul_0066
Ble09_24_a.CEL	haul_0003
Ble10_16.CEL	haul_0076
Ble10_26.CEL	haul_0073
Ble10_29.CEL	haul_0005
Ble10_31.CEL	haul_0076
Ble10_35.CEL	haul_0076
Ble10_48.CEL	haul_0073
Ble10_6.CEL	haul_0038
Ble10_8.CEL	haul_0039
Ble10_9.CEL	haul_0001
Ble11_13_a.CEL	haul_0031
Ble11_14_a.CEL	haul_0004
Ble11_19_a.CEL	haul_0006
Ble11_1_a.CEL	haul_0036
Ble11_20_a.CEL	haul_0004
Ble11_24_a.CEL	haul_0071
Ble11_28_a.CEL	haul_0006
Ble11_30_a.CEL	haul_0032
Ble11_32_a.CEL	haul_0007
Ble11_33_a.CEL	haul_0039
Ble11_38_a.CEL	haul_0075
Ble11_47_a.CEL	haul_0006
Ble11_49_a.CEL	haul_0007
Ble11_6_a.CEL	haul_0032
Ble11_9_a.CEL	haul_0005
Ble12_14_a.CEL	haul_0080
Ble12_4_a.CEL	haul_0039
Ble13_12_a.CEL	haul_0079
Ble13_13_a.CEL	haul_0009
Ble13_17_a.CEL	haul_0036
Ble13_18_a.CEL	haul_0005
Ble13_24_a.CEL	haul_0009
Ble13_33_a.CEL	haul_0003
Ble13_34_a.CEL	haul_0002
Ble13_9_a.CEL	haul_0073
Ble14_16_a.CEL	haul_0080
Ble14_25_a.CEL	haul_0009
Ble14_3_a.CEL	haul_0004
Ble14_4_a.CEL	haul_0007
Ble14_6_a.CEL	haul_0072
Ble15_27_a.CEL	haul_0072
Ble15_36_a.CEL	haul_0038
Ble15_8_a.CEL	haul_0036
Ble16_19_a.CEL	haul_0034
Ble16_27_a.CEL	haul_0077
Ble16_41_a.CEL	haul_0039
Ble16_47_a.CEL	haul_0001
Ble16_56_a.CEL	haul_0006
Ble17_25.CEL	haul_0079
Ble17_27.CEL	haul_0034
Ble17_35.CEL	haul_0077
Ble17_49.CEL	haul_0037
Ble17_53.CEL	haul_0032
Ble17_55.CEL	haul_0007
Ble17_75.CEL	haul_0080
Ble17_79.CEL	haul_0009
Ble18_11_a.CEL	haul_0034
Ble18_14_a.CEL	haul_0071
Ble18_23_a.CEL	haul_0079
Ble18_3_a.CEL	haul_0010
Ble18_46_a.CEL	haul_0005
Ble18_6_a.CEL	haul_0075
Ble19_18_a.CEL	haul_0080
Ble19_30_a.CEL	haul_0078
Ble20_23_a.CEL	haul_0009
Ble20_26_a.CEL	haul_0072
Ble20_31_a.CEL	haul_0038
Ble20_32_a.CEL	haul_0072
Ble20_40_a.CEL	haul_0001
Ble21_13_a.CEL	haul_0003
Ble21_16_a.CEL	haul_0009
